   1819734
                    5.372491e+00   -3.046238e+00    9.448630e-02
                    5.782562e+00   -1.028011e+00   -5.291233e-02
                    6.808683e+00   -6.670733e-01   -1.812247e+00
                    6.942853e+00   -4.478651e-01    1.557134e+00
                    3.376940e+00    2.947973e-01   -4.157397e-02
                    2.940414e+00    2.861045e+00   -1.492884e-01
                    4.501327e+00    4.187633e+00   -2.551130e-01
                    5.499103e-01    3.486544e+00   -1.114938e-01
                   -6.784116e-01    1.179189e+00    3.023562e-02
                   -3.255998e+00    5.026671e-01    1.247219e-01
                   -5.115488e+00    2.256333e+00    1.322808e-01
                   -6.918287e+00    1.662959e+00    7.558904e-03
                   -4.680851e+00    4.085588e+00   -1.530678e-01
                   -3.877718e+00   -1.952087e+00    2.362157e-01
                   -1.999330e+00   -3.662289e+00    2.664514e-01
                   -2.613491e+00   -5.627604e+00    3.609377e-01
                    4.856596e-01   -3.290013e+00    1.946418e-01
                    1.029901e+00   -8.163616e-01    7.369931e-02
   -8.112810e-03    4.529707e+00   -5.916498e+00    1.157642e+00
   -2.019679e-03    4.946766e+00   -6.007223e+00    1.157642e+00
    2.716845e-03    5.372491e+00   -6.037672e+00    1.157642e+00
    6.422022e-03    5.798217e+00   -6.007223e+00    1.157642e+00
    9.341587e-03    6.215275e+00   -5.916498e+00    1.157642e+00
    1.166665e-02    6.615178e+00   -5.767342e+00    1.157642e+00
    1.355477e-02    6.989782e+00   -5.562792e+00    1.157642e+00
    1.514637e-02    7.331464e+00   -5.307013e+00    1.157642e+00
    1.657820e-02    7.633266e+00   -5.005211e+00    1.157642e+00
    1.799613e-02    7.889045e+00   -4.663530e+00    1.157642e+00
    1.957099e-02    8.093595e+00   -4.288925e+00    1.157642e+00
   -2.108815e-02    3.942454e+00   -5.806085e+00    7.404062e-01
   -1.194879e-02    4.331573e+00   -5.975103e+00    7.404062e-01
   -4.943210e-03    4.740081e+00   -6.089562e+00    7.404062e-01
    4.600329e-04    5.160371e+00   -6.147330e+00    7.404062e-01
    4.664829e-03    5.584612e+00   -6.147330e+00    7.404062e-01
    7.965855e-03    6.004901e+00   -6.089562e+00    7.404062e-01
    1.058228e-02    6.413410e+00   -5.975103e+00    7.404062e-01
    1.268541e-02    6.802529e+00   -5.806085e+00    7.404062e-01
    1.441897e-02    7.165008e+00   -5.585656e+00    7.404062e-01
    1.591412e-02    7.494097e+00   -5.317923e+00    7.404062e-01
    1.730184e-02    7.783664e+00   -5.007873e+00    7.404062e-01
    1.872473e-02    8.028315e+00   -4.661281e+00    7.404062e-01
    2.035126e-02    8.223494e+00   -4.284604e+00    7.404062e-01
   -2.978802e-02    3.668202e+00   -5.715964e+00    3.111382e-01
   -1.855474e-02    4.039248e+00   -5.919303e+00    3.111382e-01
   -9.977122e-03    4.434086e+00   -6.071372e+00    3.111382e-01
   -3.417093e-03    4.845670e+00   -6.169457e+00    3.111382e-01
    1.647468e-03    5.266655e+00   -6.211809e+00    3.111382e-01
    5.597699e-03    5.689528e+00   -6.197670e+00    3.111382e-01
    8.708585e-03    6.106744e+00   -6.127295e+00    3.111382e-01
    1.118500e-02    6.510858e+00   -6.001938e+00    3.111382e-01
    1.318857e-02    6.894657e+00   -5.823836e+00    3.111382e-01
    1.485672e-02    7.251293e+00   -5.596168e+00    3.111382e-01
    1.631701e-02    7.574401e+00   -5.322997e+00    3.111382e-01
    1.769889e-02    7.858217e+00   -5.009196e+00    3.111382e-01
    1.914520e-02    8.097675e+00   -4.660367e+00    3.111382e-01
    2.082586e-02    8.288502e+00   -4.282734e+00    3.111382e-01
   -2.931741e-02    3.668202e+00   -5.715964e+00   -1.221656e-01
   -1.824295e-02    4.039248e+00   -5.919303e+00   -1.221656e-01
   -9.767757e-03    4.434086e+00   -6.071372e+00   -1.221656e-01
   -3.273839e-03    4.845670e+00   -6.169457e+00   -1.221656e-01
    1.747608e-03    5.266655e+00   -6.211809e+00   -1.221656e-01
    5.669724e-03    5.689528e+00   -6.197670e+00   -1.221656e-01
    8.762872e-03    6.106744e+00   -6.127295e+00   -1.221656e-01
    1.122937e-02    6.510858e+00   -6.001938e+00   -1.221656e-01
    1.322960e-02    6.894657e+00   -5.823836e+00   -1.221656e-01
